NO,KodeMatkul,NamaMatkul,Tingkat,MatkulSusah,Tipe,sks,no_kelas,KuotaMatkul,jml_peserta,NamaDosen,InisialDosen,jadwalfix,hari-jam-sesi_1,hari-jam-sesi_2,hari-jam-sesi_3
38,TF4001,Tugas Perancangan Terintegrasi II,4,0,1,3,1,60,32,"Iwan Prasetiyo, S.T, M.T, Ph.D. (0.429 SKS) Dr. Irsyad Nashirul Haq, S.T., M.T. (0.429 SKS) Faqihza Mukhlish, S.T., M.T., Ph.D. (0.429 SKS) Dr. Ir. Eko Mursito Budi, M.T. (0.429 SKS) Dr.-Ing. Justin Pradipta, S.T., M.T. (0.429 SKS) Ir. Adhitya Gandaryus Saputro, S.T, M.Eng., Ph.D. (0.429 SKS) Augie Widyotriatmo, S.T, M.T, Ph.D. (0.429 SKS)","IP, IH, FM, EB, JP, AG, AW",0,0,0,0
39,TF4001,Tugas Perancangan Terintegrasi II,4,0,1,3,2,60,37,"Dr. Ir. Eko Mursito Budi, M.T. (0.429 SKS) Dr.-Ing. Justin Pradipta, S.T., M.T. (0.429 SKS) Ir. Adhitya Gandaryus Saputro, S.T, M.Eng., Ph.D. (0.429 SKS) Iwan Prasetiyo, S.T, M.T, Ph.D. (0.429 SKS) Dr. Irsyad Nashirul Haq, S.T., M.T. (0.429 SKS) Augie Widyotriatmo, S.T, M.T, Ph.D. (0.429 SKS) Faqihza Mukhlish, S.T., M.T., Ph.D. (0.429 SKS)","EB, JP, AG, IP, IH, AW, FM",0,0,0,0
40,TF4002,Kerja Praktek,4,0,1,3,1,60,35,"Dr. Ni Putu Amanda Nitidara, S.T., M.T. (1.5 SKS) Dr. Eng. Muhammad Iqbal, S.T., M.T. (1.5 SKS)","AN, IQ",0,0,0,0
41,TF4002,Kerja Praktek,4,0,1,3,2,60,38,"Dr. Eng. Muhammad Iqbal, S.T., M.T. (1.5 SKS) Dr. Ni Putu Amanda Nitidara, S.T., M.T. (1.5 SKS)","IQ, AN",0,0,0,0
42,TF4013,Metrologi Optik,4,0,1,3,1,50,3,"Prof. Dr. Suprijanto, S.T., M.T. (1.5 SKS) Dr. Vebi Nadhira, S.T, M.T. (1.5 SKS)","SP, VN",0,0,0,0
43,TF4014,Sistem Kontrol Multivariabel,4,0,1,3,1,50,8,"Prof. Dr. Ing. Ir. Yul Yunazwin, M.Sc., DIC. (1.5 SKS) Dr. Azka Muji Burohman, S.Si., M.T. (1.5 SKS)","YY, AM",0,0,0,0
44,TF4017,Industrial Internet of Things,4,0,1,3,1,50,35,"Dr. Ir. Eko Mursito Budi, M.T. (1.5 SKS) Faqihza Mukhlish, S.T., M.T., Ph.D. (1.5 SKS)","EB, FM",0,0,0,0
45,TF4018,Sistem Cerdas,4,0,1,3,1,50,12,"Prof. Ir. Endra Joelianto, Ph.D. (1.5 SKS) Ir. Miranti Indar Mandasari, S.T., M.T., Ph.D., IPM. (1.5 SKS)","EJ, MI",0,0,0,0
46,TF4021,Teknik Akustik,4,0,1,3,1,50,4,"Iwan Prasetiyo, S.T, M.T, Ph.D. (1.5 SKS) Ir. R. Sugeng Joko Sarwono, M.T., Ph.D. (1 SKS) Ir. Miranti Indar Mandasari, S.T., M.T., Ph.D., IPM. (0.5 SKS)","IP, RS, MI",0,0,0,0
47,TF4090,Tugas Akhir,4,0,1,3,1,60,21,"Narendra Kurnia Putra, S.T., M.T., Ph.D. (1.5 SKS) Dr. Eng. Muhammad Haris Mahyuddin, S.T., M.Eng. (1.5 SKS)","NP, MH",0,0,0,0
48,TF4090,Tugas Akhir,4,0,1,3,2,60,24,"Dr. Eng. Muhammad Haris Mahyuddin, S.T., M.Eng. (1.5 SKS) Narendra Kurnia Putra, S.T., M.T., Ph.D. (1.5 SKS)","MH, NP",0,0,0,0
49,TF4102,Desain Material Komputasional,4,0,1,2,1,50,5,"Ir. Adhitya Gandaryus Saputro, S.T, M.Eng., Ph.D. (1 SKS) Dr. Eng. Muhammad Haris Mahyuddin, S.T., M.Eng. (1 SKS)","AG, MH",0,0,0,0
50,TF4103,Akustik Lingkungan,4,0,1,2,1,50,8,"Ir. R. Sugeng Joko Sarwono, M.T., Ph.D. (2 SKS)",RS,0,0,0,0
51,TF4104,Teknik Pencahayaan,4,0,1,2,1,50,4,"Rizki Armanto Mangkuto, S.T., M.T., Ph.D. (2 SKS)",RM,0,0,0,0
52,TF4105,Rekayasa Lingkungan Termal,4,0,1,2,1,50,10,"Dr. Rahmat Romadhon, S.T, M.T. (2 SKS)",RR,0,0,0,0
53,TF4106,Sistem Manajemen Energi,4,0,1,3,1,70,25,"Dr. Irsyad Nashirul Haq, S.T., M.T. (3 SKS) Dr.Ing. Thomas Budiarto, S.T., M.T. (1 SKS)","IH, TB",0,0,0,0
54,TF4107,Robotik dan Otomasi,4,0,1,3,1,50,31,"Augie Widyotriatmo, S.T, M.T, Ph.D. (3 SKS)",AW,0,0,0,0
55,TF4108,Pembelajaran Mesin untuk Kontrol,4,0,1,3,1,50,33,"Prof. Ir. Endra Joelianto, Ph.D. (3 SKS)",EJ,0,0,0,0
56,TF4109,Instrumentasi Biomekanik,4,0,1,3,1,60,5,"Narendra Kurnia Putra, S.T., M.T., Ph.D. (3 SKS)",NP,0,0,0,0
57,TF4110,Perancangan Rekayasa Hayati,4,0,1,3,1,60,3,"Narendra Kurnia Putra, S.T., M.T., Ph.D. (3 SKS)",NP,0,0,0,0
